ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),GII Rank (2021),Gender Inequality Index (1990),Gender Inequality Index (1991),Gender Inequality Index (1992),Gender Inequality Index (1993),Gender Inequality Index (1994),Gender Inequality Index (1995),Gender Inequality Index (1996),Gender Inequality Index (1997),Gender Inequality Index (1998),Gender Inequality Index (1999),Gender Inequality Index (2000),Gender Inequality Index (2001),Gender Inequality Index (2002),Gender Inequality Index (2003),Gender Inequality Index (2004),Gender Inequality Index (2005),Gender Inequality Index (2006),Gender Inequality Index (2007),Gender Inequality Index (2008),Gender Inequality Index (2009),Gender Inequality Index (2010),Gender Inequality Index (2011),Gender Inequality Index (2012),Gender Inequality Index (2013),Gender Inequality Index (2014),Gender Inequality Index (2015),Gender Inequality Index (2016),Gender Inequality Index (2017),Gender Inequality Index (2018),Gender Inequality Index (2019),Gender Inequality Index (2020),Gender Inequality Index (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021),Longitude,Latitude
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180.0,10.767,10.767,10.767,,,,,,,,,,167.0,,,,,,,,,,,,,,,,0.748,0.749,0.752,0.755,0.755,0.753,0.746,0.738,0.728,0.718,0.706,0.692,0.678,0.671,0.665,0.674,0.678,42.809,44.82338,44.82338,44.82338,44.82338,45.36517,45.36517,45.36517,45.36517,45.36517,45.36517,45.36517,69.1761,34.5228
AGO,Angola,Africa,Southern Hemisphere,Medium,SSA,148.0,24.454,28.94534,28.94534,28.94534,28.94534,28.94534,28.87733,28.87733,28.87733,28.87733,28.87733,28.87733,136.0,0.725,0.723,0.721,0.719,0.717,0.714,0.712,0.708,0.683,0.678,0.671,0.665,0.657,0.649,0.643,0.636,0.628,0.621,0.568,0.56,0.551,0.544,0.545,0.54,0.531,0.53,0.529,0.538,0.537,0.537,0.537,0.537,,,,,,34.17144,34.17144,34.17144,34.17144,34.17144,34.17144,34.17144,13.242,-8.81155
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67.0,18.33096,18.33096,12.23739254,12.23739254,12.23739254,12.23739254,12.23739254,12.23739254,13.17898,13.17898,13.17898,13.17898,39.0,,,,,,,,,,0.33,0.319,0.282,0.297,0.305,0.301,0.306,0.285,0.286,0.293,0.242,0.246,0.252,0.235,0.225,0.219,0.204,0.191,0.17,0.164,0.156,0.156,0.144,11.9,11.9,11.9,11.9,11.9,11.9,11.9,12.33344,12.33344,12.33344,12.33344,12.33344,19.8172,41.3317
AND,Andorra,Europe,Northern Hemisphere,Very High,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1603022,15.1603022,15.1603022,15.1603022,9.965680746,10.08381514,10.00815435,10.00815435,10.00815435,10.00815435,10.00815435,10.00815435,1.5218,42.5075
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26.0,,,,,,,,,,,,,11.0,0.659,0.647,0.64,0.632,0.635,0.627,0.624,0.616,0.609,0.605,0.605,0.602,0.599,0.597,0.592,0.584,0.311,0.202,0.193,0.185,0.175,0.181,0.171,0.161,0.151,0.126,0.118,0.112,0.103,0.056,0.05,0.049,,,,,,,18.24143743,14.47533507,12.63435527,12.63435527,12.63435527,12.63435527,54.3705,24.4764
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47.0,28.898242,27.705847,26.45734,25.898772,26.390125,25.531354,26.977223,25.978698,26.405909,28.099767,28.099767,28.099767,69.0,0.442,0.439,0.436,0.43,0.429,0.426,0.422,0.419,0.415,0.415,0.413,0.412,0.39,0.385,0.377,0.373,0.369,0.367,0.363,0.369,0.364,0.362,0.36,0.356,0.351,0.345,0.338,0.328,0.315,0.306,0.293,0.287,6.91431,6.8309,6.43056,6.51336,6.19228,6.33131,6.15194,6.20843,5.95181,5.78729,5.78729,5.78729,-58.4173,-34.6118
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85.0,14.25436,14.25436,14.25436,14.25436,14.25436,14.25436,17.43837,17.43837,17.43837,17.43837,17.43837,17.43837,53.0,0.47,0.468,0.487,0.491,0.481,0.469,0.463,0.446,0.438,0.462,0.453,0.444,0.439,0.408,0.394,0.386,0.376,0.331,0.348,0.341,0.346,0.342,0.327,0.305,0.313,0.309,0.306,0.261,0.26,0.239,0.239,0.216,3.685,3.685,3.685,3.685,3.685,3.685,2.93495,2.93495,2.93495,2.93495,2.93495,2.93495,44.509,40.1596
ATG,Antigua and Barbuda,America,Northern Hemisphere,High,LAC,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.8456,17.1175
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5.0,17.7,17.7,17.7,17.7,17.296,17.296,17.134,17.134,17.126,17.126,17.126,17.126,19.0,0.185,0.184,0.184,0.181,0.179,0.176,0.174,0.172,0.169,0.156,0.151,0.15,0.144,0.14,0.136,0.135,0.134,0.134,0.138,0.135,0.136,0.131,0.13,0.123,0.117,0.111,0.101,0.096,0.092,0.08,0.074,0.073,2.74642733,2.477821088,2.475141691,2.935538521,2.832900537,2.72096402,2.672566064,3.043233164,3.056569899,3.056569899,3.056569899,3.056569899,149.129,-35.282
AUT,Austria,Europe,Northern Hemisphere,Very High,,25.0,12.69666,13.84098,15.4998,15.50253,14.165,13.61598,14.77588,15.90224,13.39422,13.39422,14.93291,14.93291,12.0,0.202,0.204,0.201,0.195,0.18,0.17,0.163,0.155,0.151,0.147,0.149,0.147,0.145,0.131,0.126,0.121,0.119,0.114,0.121,0.113,0.111,0.103,0.098,0.086,0.083,0.084,0.082,0.072,0.061,0.054,0.052,0.053,2.48836,3.66724,3.48986,4.29767,2.65811,2.60756,2.57064,2.9996,2.91745,2.91745,2.52241,2.52241,16.3798,48.2201
